# The following lines are creating the individual reviews for several products in the catalog with settings at the design level,,,,,,,
# Cajamara Bike,,,,,,,
Reviews,/etc/commerce/products/geometrixx-outdoors/eq/eqsm/eqsmcj/jcr:content/reviews.social.json,,,,,,
aaron.mcdonald@mailinator.com,0,This is a great bike,Overall;4;Price;2,,,,
# Cuzco Backpack,,,,,,,
Reviews,/etc/commerce/products/geometrixx-outdoors/eq/eqsm/eqsmcz/jcr:content/reviews.social.json,,,,,,
aaron.mcdonald@mailinator.com,0,This is a great backpack,Overall;4;Price;2,,,,
jason.werner@dodgit.com,0,"I bought it 3 years ago, so I still use it!",Overall;3,,,,
weston.mccall@dodgit.com,0,"Not impressed, sorry.",Overall;1,,,,
# Davos Trek Water Bottle,,,,,,,
Reviews,/etc/commerce/products/geometrixx-outdoors/eq/eqsm/eqsmdv/jcr:content/reviews.social.json,,,,,,
james.devore@spambob.com,0,"A tad expensive, but not too bad",Overall;3,,,,
# Irian Jaya Sunglasses,,,,,,,
Reviews,/etc/commerce/products/geometrixx-outdoors/eq/eqsm/eqsmij/jcr:content/reviews.social.json,,,,,,
boyd.larsen@dodgit.com,0,Very comfy glasses,Overall;4,,,,
emily.andrews@mailinator.com,0,Love them,Overall;5,,,,
# Interlaken Trek Footwear,,,,,,,
Reviews,/etc/commerce/products/geometrixx-outdoors/eq/eqsm/eqsmit/jcr:content/reviews.social.json,,,,,,
boyd.larsen@dodgit.com,0,Nice footwear,Overall;5,,,,
emily.andrews@mailinator.com,0,"Too expensive, sorry !",Overall;2;Price;2,,,,
# Lagos Mini Surfboard,,,,,,,
Reviews,/etc/commerce/products/geometrixx-outdoors/eq/eqsm/eqsmlg/jcr:content/reviews.social.json,,,,,,
aaron.mcdonald@mailinator.com,0,This is a great surfboard,Overall;4;Price;2,,,,
jason.werner@dodgit.com,0,"I bought it 5 years ago, so I still use it!",Overall;3,,,,
# Longirod Trek Hiking Poles,,,,,,,
Reviews,/etc/commerce/products/geometrixx-outdoors/eq/eqsm/eqsmlt/jcr:content/reviews.social.json,,,,,,
jason.werner@dodgit.com,0,"I bought it 5 years ago, so I still use these poles!",Overall;3,,,,
# Monbasssa Runners shoes,,,,,,,
Reviews,/etc/commerce/products/geometrixx-outdoors/eq/eqsm/eqsmmr/jcr:content/reviews.social.json,,,,,,
weston.mccall@dodgit.com,0,Great shoes!,Overall;4,,,,
